mass	period	probability
0.999887536594375	1.0	0.0
0.999887536594375	1.1689518164985782	0.0
0.999887536594375	1.3664483492953254	5.054054054054055
0.999887536594375	1.5973122800602544	3.6081081081081074
0.999887536594375	1.86718109129192	3.581081081081081
0.999887536594375	2.182644728397487	3.216216216216216
0.999887536594375	2.5514065200312888	2.3378378378378377
0.999887536594375	2.9824712862168905	1.648648648648649
0.999887536594375	3.486365227678085	1.8783783783783785
0.999887536594375	4.075392965871777	1.4324324324324325
0.999887536594375	4.763938010401341	0.6351351351351352
0.999887536594375	5.56881399094527	0.7972972972972973
0.999887536594375	6.50967523045817	0.48648648648648646
0.999887536594375	7.609496685459877	0.7972972972972975
0.999887536594375	8.895134973108235	1.2027027027027026
0.999887536594375	10.3979841848149	0.5675675675675675
0.999887536594375	12.154742500762865	0.0
0.999887536594375	14.208308325339223	0.33783783783783783
0.999887536594375	16.608827826277157	0.24324324324324323
0.999887536594375	19.414919457438806	0.48648648648648646
0.999887536594375	22.695105366946684	0.0
0.999887536594375	26.52948464431896	0.0
0.999887536594375	31.011689265747787	0.2702702702702703
0.999887536594375	36.25117049988533	0.13513513513513514
0.999887536594375	42.37587160604063	0.17567567567567569
0.999887536594375	49.5353520895917	0.48648648648648646
0.999887536594375	57.90443980602486	0.7162162162162162
0.999887536594375	67.68750009458535	0.7432432432432433
0.999887536594375	79.12342618981323	0.8378378378378378
0.999887536594375	92.49147277217335	0.3783783783783784
0.999887536594375	108.11807510766077	0.5945945945945945
0.999887536594375	126.38482029342984	0.0
0.999887536594375	147.73776525985113	0.0
0.999887536594375	172.69832906594343	0.24324324324324323
0.999887536594375	201.8760254679039	0.39189189189189194
0.999887536594375	235.98334667821936	0.0
0.999887536594375	275.85316176291843	0.0
0.999887536594375	322.45905452963945	0.0
0.999887536594375	376.93909753883594	0.0
0.999887536594375	440.6236427773573	0.0
0.999887536594375	515.0678076168122	0.0
0.999887536594375	602.0894493336132	0.0
0.999887536594375	703.8135554931555	0.0
0.999887536594375	822.7241341700466	0.0
0.999887536594375	961.7248711152964	0.0
0.999887536594375	1124.2100350620863	0.0
0.999887536594375	1314.1473626117568	0.0
0.999887536594375	1536.1749466718281	0.0
0.999887536594375	1795.714494371641	0.0
0.999887536594375	2099.1037201085546	0.0
0.999887536594375	2453.751106639817	0.0
0.999887536594375	2868.3168133420118	0.0
0.999887536594375	3352.9241492495566	0.0
0.999887536594375	3919.406774847221	0.0
0.999887536594375	4581.597669054491	0.0
0.999887536594375	5355.666917706896	0.0
0.999887536594375	6260.516572014822	0.0
0.999887536594375	7318.2422190761745	0.0
0.999887536594375	8554.672535565684	0.0
0.999887536594375	10000.0	0.0
1.1240836025729053	1.0	0.0
1.1240836025729053	1.1689518164985782	0.0
1.1240836025729053	1.3664483492953254	6.45945945945946
1.1240836025729053	1.5973122800602544	5.040540540540541
1.1240836025729053	1.86718109129192	4.391891891891892
1.1240836025729053	2.182644728397487	4.202702702702703
1.1240836025729053	2.5514065200312888	3.7972972972972965
1.1240836025729053	2.9824712862168905	2.040540540540541
1.1240836025729053	3.486365227678085	2.8243243243243246
1.1240836025729053	4.075392965871777	2.432432432432433
1.1240836025729053	4.763938010401341	0.9189189189189189
1.1240836025729053	5.56881399094527	0.9864864864864865
1.1240836025729053	6.50967523045817	0.8648648648648649
1.1240836025729053	7.609496685459877	1.4324324324324325
1.1240836025729053	8.895134973108235	1.2837837837837838
1.1240836025729053	10.3979841848149	0.7972972972972973
1.1240836025729053	12.154742500762865	0.2567567567567568
1.1240836025729053	14.208308325339223	0.6621621621621622
1.1240836025729053	16.608827826277157	0.6351351351351351
1.1240836025729053	19.414919457438806	0.33783783783783783
1.1240836025729053	22.695105366946684	0.2567567567567568
1.1240836025729053	26.52948464431896	0.0
1.1240836025729053	31.011689265747787	0.40540540540540543
1.1240836025729053	36.25117049988533	0.20270270270270271
1.1240836025729053	42.37587160604063	0.33783783783783783
1.1240836025729053	49.5353520895917	0.48648648648648657
1.1240836025729053	57.90443980602486	0.7567567567567568
1.1240836025729053	67.68750009458535	1.0675675675675675
1.1240836025729053	79.12342618981323	0.9594594594594594
1.1240836025729053	92.49147277217335	0.32432432432432434
1.1240836025729053	108.11807510766077	0.6351351351351351
1.1240836025729053	126.38482029342984	0.040540540540540536
1.1240836025729053	147.73776525985113	0.0
1.1240836025729053	172.69832906594343	0.2702702702702703
1.1240836025729053	201.8760254679039	0.3783783783783784
1.1240836025729053	235.98334667821936	0.0
1.1240836025729053	275.85316176291843	0.0
1.1240836025729053	322.45905452963945	0.0
1.1240836025729053	376.93909753883594	0.0
1.1240836025729053	440.6236427773573	0.0
1.1240836025729053	515.0678076168122	0.0
1.1240836025729053	602.0894493336132	0.0
1.1240836025729053	703.8135554931555	0.0
1.1240836025729053	822.7241341700466	0.0
1.1240836025729053	961.7248711152964	0.0
1.1240836025729053	1124.2100350620863	0.0
1.1240836025729053	1314.1473626117568	0.0
1.1240836025729053	1536.1749466718281	0.0
1.1240836025729053	1795.714494371641	0.0
1.1240836025729053	2099.1037201085546	0.0
1.1240836025729053	2453.751106639817	0.0
1.1240836025729053	2868.3168133420118	0.0
1.1240836025729053	3352.9241492495566	0.0
1.1240836025729053	3919.406774847221	0.0
1.1240836025729053	4581.597669054491	0.0
1.1240836025729053	5355.666917706896	0.0
1.1240836025729053	6260.516572014822	0.0
1.1240836025729053	7318.2422190761745	0.0
1.1240836025729053	8554.672535565684	0.0
1.1240836025729053	10000.0	0.0
1.2637060662612034	1.0	0.0
