mass	period	probability
0.999887536594375	1.0	0.0
0.999887536594375	1.1689518164985782	0.0
0.999887536594375	1.3664483492953254	16.4
0.999887536594375	1.5973122800602544	16.622222222222224
0.999887536594375	1.86718109129192	15.97777777777778
0.999887536594375	2.182644728397487	14.266666666666664
0.999887536594375	2.5514065200312888	13.555555555555557
0.999887536594375	2.9824712862168905	13.022222222222224
0.999887536594375	3.486365227678085	10.555555555555557
0.999887536594375	4.075392965871777	8.866666666666665
0.999887536594375	4.763938010401341	9.088888888888889
0.999887536594375	5.56881399094527	5.977777777777779
0.999887536594375	6.50967523045817	6.955555555555555
0.999887536594375	7.609496685459877	7.088888888888888
0.999887536594375	8.895134973108235	6.199999999999999
0.999887536594375	10.3979841848149	6.8888888888888875
0.999887536594375	12.154742500762865	4.822222222222222
0.999887536594375	14.208308325339223	4.955555555555556
0.999887536594375	16.608827826277157	3.7555555555555555
0.999887536594375	19.414919457438806	3.266666666666666
0.999887536594375	22.695105366946684	2.5333333333333337
0.999887536594375	26.52948464431896	2.977777777777778
0.999887536594375	31.011689265747787	2.2222222222222223
0.999887536594375	36.25117049988533	2.7777777777777777
0.999887536594375	42.37587160604063	3.022222222222222
0.999887536594375	49.5353520895917	1.2444444444444445
0.999887536594375	57.90443980602486	1.2
0.999887536594375	67.68750009458535	1.3333333333333335
0.999887536594375	79.12342618981323	0.8444444444444446
0.999887536594375	92.49147277217335	1.577777777777778
0.999887536594375	108.11807510766077	1.7555555555555558
0.999887536594375	126.38482029342984	1.1333333333333333
0.999887536594375	147.73776525985113	1.488888888888889
0.999887536594375	172.69832906594343	1.1777777777777778
0.999887536594375	201.8760254679039	1.1555555555555557
0.999887536594375	235.98334667821936	0.0
0.999887536594375	275.85316176291843	0.8888888888888888
0.999887536594375	322.45905452963945	0.7333333333333334
0.999887536594375	376.93909753883594	0.26666666666666666
0.999887536594375	440.6236427773573	0.0
0.999887536594375	515.0678076168122	0.26666666666666666
0.999887536594375	602.0894493336132	0.0
0.999887536594375	703.8135554931555	0.0
0.999887536594375	822.7241341700466	0.0
0.999887536594375	961.7248711152964	0.0
0.999887536594375	1124.2100350620863	0.0
0.999887536594375	1314.1473626117568	0.0
0.999887536594375	1536.1749466718281	0.0
0.999887536594375	1795.714494371641	0.0
0.999887536594375	2099.1037201085546	0.0
0.999887536594375	2453.751106639817	0.0
0.999887536594375	2868.3168133420118	0.0
0.999887536594375	3352.9241492495566	0.0
0.999887536594375	3919.406774847221	0.0
0.999887536594375	4581.597669054491	0.0
0.999887536594375	5355.666917706896	0.0
0.999887536594375	6260.516572014822	0.0
0.999887536594375	7318.2422190761745	0.0
0.999887536594375	8554.672535565684	0.0
0.999887536594375	10000.0	0.0
1.1240836025729053	1.0	0.0
1.1240836025729053	1.1689518164985782	0.0
1.1240836025729053	1.3664483492953254	19.466666666666672
1.1240836025729053	1.5973122800602544	19.15555555555555
1.1240836025729053	1.86718109129192	17.88888888888889
1.1240836025729053	2.182644728397487	16.71111111111111
1.1240836025729053	2.5514065200312888	15.577777777777776
1.1240836025729053	2.9824712862168905	15.577777777777776
1.1240836025729053	3.486365227678085	12.377777777777775
1.1240836025729053	4.075392965871777	13.355555555555554
1.1240836025729053	4.763938010401341	12.400000000000002
1.1240836025729053	5.56881399094527	8.777777777777779
1.1240836025729053	6.50967523045817	8.666666666666666
1.1240836025729053	7.609496685459877	9.68888888888889
1.1240836025729053	8.895134973108235	7.422222222222222
1.1240836025729053	10.3979841848149	8.777777777777777
1.1240836025729053	12.154742500762865	5.7555555555555555
1.1240836025729053	14.208308325339223	6.0888888888888895
1.1240836025729053	16.608827826277157	4.866666666666666
1.1240836025729053	19.414919457438806	3.822222222222222
1.1240836025729053	22.695105366946684	3.4888888888888894
1.1240836025729053	26.52948464431896	3.288888888888889
1.1240836025729053	31.011689265747787	2.688888888888889
1.1240836025729053	36.25117049988533	2.911111111111111
1.1240836025729053	42.37587160604063	3.7777777777777786
1.1240836025729053	49.5353520895917	2.2444444444444445
1.1240836025729053	57.90443980602486	1.3777777777777775
1.1240836025729053	67.68750009458535	2.4
1.1240836025729053	79.12342618981323	0.911111111111111
1.1240836025729053	92.49147277217335	1.488888888888889
1.1240836025729053	108.11807510766077	2.2444444444444445
1.1240836025729053	126.38482029342984	1.4000000000000001
1.1240836025729053	147.73776525985113	1.6
1.1240836025729053	172.69832906594343	1.4666666666666668
1.1240836025729053	201.8760254679039	1.4222222222222223
1.1240836025729053	235.98334667821936	0.15555555555555556
1.1240836025729053	275.85316176291843	0.8444444444444446
1.1240836025729053	322.45905452963945	0.7111111111111111
1.1240836025729053	376.93909753883594	0.26666666666666666
1.1240836025729053	440.6236427773573	0.0
1.1240836025729053	515.0678076168122	0.6222222222222222
1.1240836025729053	602.0894493336132	0.0
1.1240836025729053	703.8135554931555	0.0
1.1240836025729053	822.7241341700466	0.0
1.1240836025729053	961.7248711152964	0.0
1.1240836025729053	1124.2100350620863	0.0
1.1240836025729053	1314.1473626117568	0.0
1.1240836025729053	1536.1749466718281	0.0
1.1240836025729053	1795.714494371641	0.0
1.1240836025729053	2099.1037201085546	0.0
1.1240836025729053	2453.751106639817	0.0
1.1240836025729053	2868.3168133420118	0.0
1.1240836025729053	3352.9241492495566	0.0
1.1240836025729053	3919.406774847221	0.0
1.1240836025729053	4581.597669054491	0.0
1.1240836025729053	5355.666917706896	0.0
1.1240836025729053	6260.516572014822	0.0
1.1240836025729053	7318.2422190761745	0.0
1.1240836025729053	8554.672535565684	0.0
1.1240836025729053	10000.0	0.0
